InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850.0,United Kingdom
536365,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17850.0,United Kingdom
536366,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:28,2.75,17850.0,United Kingdom
536367,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:34,3.39,,United Kingdom
536368,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:35,3.39,13047.0,United Kingdom
536369,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:45,7.65,12583.0,France
536370,22745,POPPY'S PLAYHOUSE BEDROOM ,3,12/1/2010 9:00,-3.75,12583.0,Germany
536371,22633,HAND WARMER UNION JACK,1,12/1/2010 9:01,1.85,13047.0,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,1,12/1/2010 9:02,1.85,13047.0,United Kingdom
536373,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 9:05,1.69,12583.0,France
